,0
1430,002941.SZ
1431,002942.SZ
1432,002943.SZ
1433,002945.SZ
1434,002946.SZ
1435,002947.SZ
1436,002948.SZ
1437,002949.SZ
1438,002950.SZ
1439,002951.SZ
1440,002952.SZ
1441,002953.SZ
1442,002955.SZ
1443,002956.SZ
1444,002957.SZ
1445,002958.SZ
1446,002959.SZ
1447,002960.SZ
1448,002961.SZ
1449,002962.SZ
1450,002963.SZ
1451,002965.SZ
1452,002966.SZ
1453,002967.SZ
1454,002968.SZ
1455,002969.SZ
1456,002970.SZ
1457,002971.SZ
1458,002972.SZ
1459,002973.SZ
1460,002975.SZ
1461,002976.SZ
1462,003816.SZ
1463,300001.SZ
1464,300002.SZ
1465,300003.SZ
1466,300004.SZ
1467,300005.SZ
1468,300006.SZ
1469,300007.SZ
1470,300008.SZ
1471,300009.SZ
1472,300010.SZ
1473,300011.SZ
1474,300012.SZ
1475,300013.SZ
1476,300014.SZ
1477,300015.SZ
1478,300016.SZ
1479,300017.SZ
1480,300018.SZ
1481,300019.SZ
1482,300020.SZ
1483,300021.SZ
1484,300022.SZ
1485,300023.SZ
1486,300024.SZ
1487,300025.SZ
1488,300026.SZ
1489,300027.SZ
1490,300028.SZ
1491,300029.SZ
1492,300030.SZ
1493,300031.SZ
1494,300032.SZ
1495,300033.SZ
1496,300034.SZ
1497,300035.SZ
